Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
VOLKSWAGEN Jetta,1.4,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GVGAV01.4VUP,small car,6,28,39,32,8,Yes
VOLKSWAGEN Jetta,1.8,4,Man-5,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,small car,7,25,37,29,7,Yes
VOLKSWAGEN Jetta,1.8,4,Man-5,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,small car,9,25,37,29,7,Yes
VOLKSWAGEN Jetta,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,small car,7,25,36,29,7,Yes
VOLKSWAGEN Jetta,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,small car,9,25,36,29,7,Yes
VOLKSWAGEN Jetta Hybrid,1.4,4,AMS-7,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV01.4VPA,small car,7,42,48,44,9,Yes
VOLKSWAGEN Jetta Hybrid,1.4,4,AMS-7,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV01.4VPA,small car,9,42,48,44,9,Yes
VOLKSWAGEN Passat,1.8,4,SemiAuto-6,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVGAV02.0VPD,midsize car,7,25,38,29,7,Yes
VOLKSWAGEN Passat,1.8,4,SemiAuto-6,2WD,Gasoline,CA,PZEV,California PZEV,GVGAV02.0VPD,midsize car,9,25,38,29,7,Yes
VOLKSWAGEN e-Golf,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,GVGAV00.0VZZ,small car,10,126,105,116,10,Elite
VOLVO S60,2,4,SemiAuto-8,2WD,Gasoline,FA,B3,Federal Tier 2 Bin 3,GVVXV02.0S3T,small car,7,26,38,30,7,Yes
VOLVO S60,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,GVVXV02.0S3T,small car,8,26,38,30,7,Yes
VOLVO S60,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GVVXV02.0U3T,small car,6,26,38,30,7,Yes
VOLVO S60 Inscription,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GVVXV02.0U3T,small car,6,25,37,29,7,Yes
VOLVO S80,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GVVXV02.0U3T,midsize car,6,25,37,29,7,Yes
VOLVO V60,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,GVVXV02.0U3T,station wagon,6,25,37,29,7,Yes
