Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Stnd Description,Underhood ID,Veh Class,Smog Rating,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
MINI Cooper Hardtop,1.5,4,Man-6,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GBMXV01.5M36,small car,9,28,39,32,8,Yes
MINI Cooper Hardtop,1.5,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,GBMXV01.5M36,small car,8,28,39,32,8,Yes
MINI Cooper Hardtop,1.5,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GBMXV01.5M36,small car,9,27,37,31,7,Yes
MINI Cooper Hardtop,1.5,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,GBMXV01.5M36,small car,8,27,37,31,7,Yes
MINI Cooper Paceman,1.6,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV01.6N16,small car,6,27,32,29,7,Yes
MINI Cooper S Countryman,1.6,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV01.6N18,small car,6,26,32,29,7,Yes
MINI Cooper S Countryman,1.6,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV01.6N18,small car,6,25,32,28,7,Yes
MINI Cooper S Hardtop,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,GBMXV02.0M46,small car,9,26,33,29,7,Yes
MINI Cooper S Hardtop,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,GBMXV02.0M46,small car,8,26,33,29,7,Yes
MINI Cooper S Paceman,1.6,4,Man-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV01.6N18,small car,6,26,32,29,7,Yes
MINI Cooper S Paceman,1.6,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV01.6N18,small car,6,25,32,28,7,Yes
MINI Cooper Works Hardtop,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,GBMXV02.0M48,small car,6,25,31,28,7,Yes
MITSUBISHI Lancer,2,4,SCV-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,GMTXV02.0G5P,small car,7,27,35,30,7,Yes
